Instances,feature_num_features,feature_num_classes,feature_num_instances,feature_neutral_m1,feature_neutral_m2,feature_hdil_max,feature_hdil_stdev,feature_hdil_skewness,feature_infog_class_min,feature_infog_class_max,feature_infog_class_median,feature_infog_class_stdev,feature_infog_class_skewness,feature_infog_feature_min,feature_infog_feature_max,feature_infog_feature_median,feature_infog_feature_stdev,feature_infog_feature_skewness,algo_AMSO,algo_GA,algo_EDA,algo_SFS,algo_PCR,algo_IGFS,algo_REL
ilpd-numeric-41945.arff,10,2,583,0.025,0.01,4.9480584,1.4925119,2.8905041,0,0.1027855,0.0471815,0.0386903,0.0721877,0,0.1027855,0.0471815,0.0368898,0.061805,0.5376967,0.5388412,0.5364807,0.5343348,0.5300429,0.5236052,0.5236052
lowbwt-941.arff,9,2,189,0.0666667,0.0166667,4.3445102,1.5564418,1.8005704,0,0.4532768,0.0277718,0.143299,2.8551585,0,0.4532768,0.0277718,0.1359453,2.4000618,0.5921052,0.5894736,0.5723684,0.5921052,0.5921052,0.5460526,0.5657894
sensory-826.arff,11,2,576,0,0,5.2954788,1.7497549,2.2470222,0.000009,0.0501481,0.0032358,0.0149893,2.3806936,0.000009,0.0501481,0.0032358,0.0143511,2.0686453,0.5355072,0.5403623,0.5456522,0.5304348,0.5217392,0.5195652,0.526087
fri_c4_1000_100-718.arff,100,2,1000,0.002,0.0005,49.9680984,17.9517228,2.1245234,0,0.3841976,0,0.0456841,7.0630447,0,0.3841976,0,0.0454574,6.9576982,0.7023333,0.5957917,0.59625,0.705,0.6675,0.7025,0.7
audiology-999.arff,69,2,226,0.5101449,0.0173913,34.3467566,14.5149502,1.270707,0,0.4246417,0.0037298,0.0555426,5.9711525,0,0.4246417,0.0037298,0.0551445,5.8423938,0.5312963,0.5409259,0.5388889,0.5277778,0.5333334,0.5333334,0.5333334
fri_c1_250_50-769.arff,50,2,250,0.01,0.002,24.8360875,9.7931136,1.6332803,0,0.393684,0,0.0667262,4.8158392,0,0.393684,0,0.0660688,4.6729472,0.66,0.5988333,0.605,0.66,0.65,0.66,0.66
sonar-40.arff,60,2,208,0.1,0.0041667,29.9085258,10.622423,2.1293191,0,0.2013644,0,0.0533283,1.3162437,0,0.2013644,0,0.0528894,1.2836413,0.6684739,0.6614458,0.6385542,0.6807229,0.5240964,0.5421686,0.5542168
heart-c-982.arff,13,2,303,0.0076923,0.0038462,6.4477802,2.1611993,1.8417682,0,0.2116278,0.1168338,0.078298,0.0033771,0,0.2116278,0.1168338,0.0754498,0.0030009,0.5140496,0.5307163,0.5247934,0.5123967,0.5289256,0.5289256,0.5206612
TuningSVMs-41978.arff,81,2,156,0.1734568,0.0030864,40.3816678,15.4345904,1.6891965,0,0.9694309,0,0.1124993,7.5530817,0,0.9694309,0,0.1118112,7.4141792,0.5494624,0.580914,0.5806452,0.5645162,0.5241936,0.516129,0.5403226
fri_c3_1000_50-806.arff,50,2,1000,0.002,0.001,24.9531854,8.8218869,2.1278769,0,0.3411049,0,0.0626302,4.6145973,0,0.3411049,0,0.0620131,4.4776763,0.6359167,0.584,0.55125,0.63625,0.63375,0.635,0.63375
synthetic_control-1004.arff,61,2,600,0.9983607,0.9983607,30.4754227,6.8145117,4.472136,0,0.6500224,0.0723417,0.1543071,1.9359442,0,0.6500224,0.0723417,0.1530577,1.8887715,0.5,0.5,0.5,0.5,0.5,0.5,0.5
fri_c4_100_50-932.arff,50,2,100,0.064,0.008,24.9159366,10.0657056,1.625623,0,0.3973686,0,0.0609844,5.6221982,0,0.3973686,0,0.0603836,5.4553804,0.63,0.6258333,0.625,0.65,0.6375,0.6375,0.6375
vehicle-54.arff,18,4,846,0.0055556,0.0027778,8.9292929,3.0317412,2.1477504,0.0545856,0.5710829,0.2306834,0.1680381,0.6131281,0.0545856,0.5710829,0.2306834,0.1635563,0.563415,0.5197732,0.5387081,0.5384616,0.4822486,0.5,0.525148,0.5236686
SPECTF-1600.arff,44,2,267,0.0295455,0.0022727,21.9624486,7.7883438,2.1270849,0,0.1550945,0.0432889,0.0433274,0.6878012,0,0.1550945,0.0432889,0.0428433,0.6646428,0.5834891,0.5961059,0.6028038,0.593458,0.5607476,0.5607476,0.5560748
breastTumor-844.arff,9,2,286,0.0333333,0.0111111,4.4525646,1.4583436,2.2528319,0,0.0926809,0.0202303,0.0280631,1.9558752,0,0.0926809,0.0202303,0.026623,1.6441194,0.5445907,0.5542398,0.5394737,0.5614035,0.5526316,0.5394737,0.5263158
regime_alimentaire-42172.arff,19,2,202,0.0578947,0.0078947,9.4730624,3.0342809,2.1862218,0.0091414,0.4087815,0.0343901,0.1035764,2.4085651,0.0091414,0.4087815,0.0343901,0.1009538,2.2233337,0.5851852,0.577572,0.5679012,0.5864198,0.5679012,0.5679012,0.5555556
fri_c2_100_50-922.arff,50,2,100,0.042,0.004,24.8346618,11.1384491,0.7910009,0,0.5591893,0,0.1040406,4.6295332,0,0.5591893,0,0.1030156,4.4921691,0.6375,0.60625,0.625,0.6375,0.6125,0.6375,0.6375
spectrometer-954.arff,102,2,531,0.2446078,0.0053922,50.8394461,15.5993006,2.887998,0,0.4802365,0.0796116,0.088322,1.4392951,0,0.4802365,0.0796116,0.0878922,1.4182465,0.5380503,0.5363207,0.5353774,0.5400944,0.5330188,0.5330188,0.5283019
fri_c4_100_25-868.arff,25,2,100,0.05,0.006,12.4336182,5.2733765,0.9998946,0,0.3360631,0,0.0950498,2.655906,0,0.3360631,0,0.093204,2.4998225,0.5691667,0.5791667,0.575,0.5625,0.5625,0.5625,0.5625
fri_c3_500_10-936.arff,10,2,500,0.01,0.01,4.8419273,1.7670419,1.4584833,0,0.3026959,0,0.1203653,1.6477799,0,0.3026959,0,0.1147638,1.4107805,0.5781667,0.5825,0.5825,0.5825,0.5725,0.5825,0.5825
KungChi3-1441.arff,39,2,123,0.374359,0.0153846,19.2683899,6.7208055,2.1504614,0,0.1440279,0,0.0490218,0.3494247,0,0.1440279,0,0.0484052,0.3361707,0.540136,0.5404762,0.5306122,0.5408163,0.5306122,0.5408163,0.5306122
