Instances,feature_num_features,feature_num_classes,feature_num_instances,feature_neutral_m1,feature_neutral_m2,feature_hdil_max,feature_hdil_stdev,feature_hdil_skewness,feature_infog_class_min,feature_infog_class_max,feature_infog_class_median,feature_infog_class_stdev,feature_infog_class_skewness,feature_infog_feature_min,feature_infog_feature_max,feature_infog_feature_median,feature_infog_feature_stdev,feature_infog_feature_skewness,algo_AMSO,algo_GA,algo_EDA,algo_SFS,algo_PCR,algo_IGFS,algo_REL
fri_c2_250_50-877.arff,50,2,250,0.013,0.002,24.8836779,9.7592041,1.6367859,0,0.4273215,0,0.077264,4.9229381,0,0.4273215,0,0.0765027,4.7768683,0.6368333,0.5991667,0.595,0.64,0.63,0.63,0.63
glass-1005.arff,9,2,214,0.0111111,0.0055556,4.4041851,1.4659972,2.2066987,0,0.2409753,0.0672194,0.0792497,1.5024081,0,0.2409753,0.0672194,0.0751828,1.2629325,0.5368217,0.5395348,0.5406976,0.5406976,0.5232558,0.5406976,0.5290698
fri_c2_250_25-794.arff,25,2,250,0.014,0.004,12.4119344,4.7623496,1.6482665,0,0.4670314,0,0.1119863,3.3968921,0,0.4670314,0,0.1098116,3.197262,0.636,0.6388333,0.62,0.66,0.625,0.62,0.635
fri_c4_250_50-918.arff,50,2,250,0.015,0.002,24.9180248,9.7597165,1.6438162,0,0.3405203,0,0.0642647,4.2996232,0,0.3405203,0,0.0636315,4.1720479,0.6798333,0.6275,0.615,0.69,0.685,0.675,0.66
tokyo1-40705.arff,44,2,959,0.2522727,0.0102273,21.9105382,6.7155462,2.888047,0,0.6612827,0.3164484,0.1963184,0.1131064,0,0.6612827,0.3164484,0.1941249,0.1092981,0.5107205,0.5127604,0.5130208,0.5,0.5078125,0.5078125,0.5026042
PizzaCutter1-1443.arff,37,2,661,0.2094595,0.0148649,18.4270894,5.6450364,2.8880744,0,0.0914586,0.0275248,0.0269497,0.5169215,0,0.0914586,0.0275248,0.0265927,0.4962686,0.5224748,0.520644,0.5227273,0.5227273,0.5208334,0.5151515,0.5132576
fri_c3_250_50-873.arff,50,2,250,0.014,0.002,24.8942813,9.7236191,1.638434,0,0.3523871,0,0.0661527,4.6342599,0,0.3523871,0,0.0655009,4.4967556,0.6793333,0.6015,0.575,0.68,0.555,0.66,0.66
fri_c0_500_10-943.arff,10,2,500,0.01,0.005,4.8672255,1.7712872,1.4782799,0,0.1383668,0,0.0626476,1.0806028,0,0.1383668,0,0.0597321,0.9251802,0.5324167,0.5426667,0.5375,0.545,0.535,0.535,0.535
fri_c0_250_50-732.arff,50,2,250,0.019,0.002,24.9346217,9.9408131,1.4187729,0,0.1474185,0,0.0281287,4.1768162,0,0.1474185,0,0.0278516,4.0528848,0.5728333,0.572,0.56,0.605,0.56,0.545,0.56
ar4-1061.arff,29,2,107,0.3310345,0.0189655,14.3364632,4.3860677,2.8881619,0,0.2721521,0.1448515,0.07932,-0.4281369,0,0.2721521,0.1448515,0.0779868,-0.406391,0.542248,0.5515504,0.5465116,0.5348837,0.5232558,0.5232558,0.5232558
heart-h-1565.arff,13,5,294,0.0615385,0.0153846,6.4325648,2.0733836,2.2985305,0,0.2855763,0,0.1195334,0.7975466,0,0.2855763,0,0.1151852,0.708709,0.5228813,0.5289548,0.5254238,0.5338983,0.5042373,0.5127118,0.5127118
credit-g-31.arff,20,2,1000,0.0025,0.0025,9.9884683,3.2229965,2.1828213,0,0.0947388,0.0100765,0.022185,2.5807955,0,0.0947388,0.0100765,0.0216503,2.3920358,0.5050833,0.5117083,0.51,0.51375,0.505,0.51,0.5
thoracic_surgery-4329.arff,16,2,470,0.078125,0.0125,7.9458787,2.5887664,2.208219,0,0.0242842,0.0039236,0.0071583,1.8952736,0,0.0242842,0.0039236,0.0069445,1.7228628,0.5150709,0.5160461,0.5159574,0.5132979,0.5106383,0.5053192,0.5
stock-841.arff,9,2,950,0.3333333,0.0611111,4.4602356,1.3415488,2.4909945,0.0911666,0.6476425,0.2805076,0.1835353,0.7669621,0.0911666,0.6476425,0.2805076,0.1741168,0.6447126,0.5487719,0.5537719,0.5276316,0.55,0.5,0.5013158,0.5013158
qsar-biodeg-1494.arff,41,2,1055,0.0341463,0.002439,20.4281894,6.216197,2.8887446,0,0.2176014,0.0568005,0.0549338,0.8062305,0,0.2176014,0.0568005,0.0542759,0.7771229,0.5152449,0.528673,0.5390996,0.5201422,0.5023697,0.5082938,0.5082938
heart-h-51.arff,13,5,294,0.9923077,0.9923077,6.4862245,1.4503639,4.472136,0,0.2539335,0.0173722,0.1009821,1.2704723,0,0.2539335,0.0173722,0.0973088,1.1289562,0.5,0.5,0.5,0.5,0.5,0.5,0.5
SPECT-336.arff,22,2,267,0.0204545,0.0045455,10.8708551,3.7809278,2.1559313,0.0006337,0.133857,0.01197,0.0370186,1.9054886,0.0006337,0.133857,0.01197,0.0362049,1.7785438,0.5434579,0.5602803,0.5560748,0.542056,0.542056,0.542056,0.5373832
fri_c2_500_10-869.arff,10,2,500,0,0,4.715,1.7725765,1.4206304,0,0.4305882,0,0.1629321,1.7876058,0,0.4305882,0,0.1553497,1.5304953,0.5970833,0.6068333,0.575,0.6075,0.6025,0.565,0.6075
fri_c4_500_10-855.arff,10,2,500,0.02,0.005,4.9506098,1.7407192,1.6895248,0,0.2850341,0.0122373,0.1041331,1.4630921,0,0.2850341,0.0122373,0.099287,1.2526563,0.55475,0.5688333,0.57,0.57,0.5525,0.5525,0.5525
fri_c2_250_10-830.arff,10,2,250,0.01,0.005,4.7404767,1.7350651,1.5276945,0,0.4580571,0,0.1900794,1.6678026,0,0.4580571,0,0.1812336,1.4279234,0.5775,0.5836667,0.585,0.585,0.56,0.565,0.565
calendarDOW-40663.arff,32,5,399,0.0328125,0.003125,15.9077469,5.6318093,2.1293207,0,0.6490628,0.185729,0.1704995,1.2058527,0,0.6490628,0.185729,0.1678963,1.1502615,0.5380208,0.5629167,0.5625,0.56875,0.50625,0.51875,0.5125
energy-efficiency-1472.arff,9,38,768,0.1777778,0.0277778,4.3343945,1.4511034,1.7478403,0,2.8483886,1.0326037,0.8796857,0.4419752,0,2.8483886,1.0326037,0.8345431,0.3715268,0.5075462,0.5092291,0.5081434,0.5081434,0.5081434,0.5081434,0.5081434
eucalyptus-188.arff,19,5,736,0.0236842,0.0078947,9.3222445,3.5711537,1.363302,0,0.6404479,0.2415873,0.1708839,0.5999791,0,0.6404479,0.2415873,0.166557,0.5538375,0.6019841,0.6681973,0.6428572,0.5935374,0.5493198,0.5493198,0.5493198
lsvt-1484.arff,310,2,126,0.6625806,0.0069355,154.908716,57.2618291,1.8673076,0,0.3516836,0,0.0789735,1.1742316,0,0.3516836,0,0.0788464,1.1685604,0.6233333,0.629,0.65,0.65,0.6,0.58,0.59
fri_c3_1000_10-740.arff,10,2,1000,0,0,4.8490667,1.7430175,1.5152506,0,0.3242625,0,0.119418,1.6219793,0,0.3242625,0,0.1138606,1.3886908,0.5819583,0.58925,0.5825,0.59,0.58125,0.5825,0.5825
clean1-40665.arff,168,2,476,0.1196429,0.0029762,83.5873224,34.071735,1.6246505,0,0.9877271,0.0581396,0.0908437,7.7190307,0,0.9877271,0.0581396,0.0905745,7.6503457,0.7631579,0.692193,0.7105263,0.7631579,0.7631579,0.7631579,0.7631579
